$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[2,4,3,11]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,4,3,12]",11.000,"[0,0,0,0]",17.000,"[0,1,0,2]",6.000,1
"[2,4,4,2]",3.000,"[0,0,0,0]",8.000,"[0,1,0,1]",5.000,1
"[2,4,4,3]",5.000,"[0,0,0,0]",9.000,"[0,1,0,0]",4.000,0
"[2,4,4,4]",3.000,"[0,0,0,0]",10.000,"[0,1,0,3]",7.000,1
"[2,4,4,5]",7.000,"[0,0,0,0]",11.000,"[0,1,0,0]",4.000,0
"[2,4,4,6]",7.000,"[0,0,0,0]",12.000,"[0,1,0,1]",5.000,0
"[2,4,4,7]",9.000,"[0,0,0,0]",13.000,"[0,1,0,0]",4.000,0
"[2,4,4,8]",7.000,"[0,0,0,0]",14.000,"[0,1,0,3]",7.000,1
"[2,4,4,9]",11.000,"[0,0,0,0]",15.000,"[0,1,0,0]",4.000,0
"[2,4,4,10]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,0
"[2,4,4,11]",13.000,"[0,0,0,0]",17.000,"[0,1,0,0]",4.000,0
"[2,4,4,12]",11.000,"[0,0,0,0]",18.000,"[0,1,0,3]",7.000,1
"[2,4,5,2]",7.000,"[0,0,0,0]",9.000,"[0,1,0,0]",2.000,0
"[2,4,5,3]",9.000,"[0,0,0,0]",10.000,"[0,1,0,0]",1.000,0
"[2,4,5,4]",7.000,"[0,0,0,0]",11.000,"[0,1,0,0]",4.000,0
"[2,4,5,5]",7.000,"[0,0,0,0]",12.000,"[0,1,0,4]",5.000,0
"[2,4,5,6]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,4,5,7]",13.000,"[0,0,0,0]",14.000,"[0,1,0,0]",1.000,0
"[2,4,5,8]",11.000,"[0,0,0,0]",15.000,"[0,1,0,0]",4.000,0
"[2,4,5,9]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,4,5,10]",11.000,"[0,0,0,0]",17.000,"[0,1,0,4]",6.000,0
"[2,4,5,11]",17.000,"[0,0,0,0]",18.000,"[0,1,0,0]",1.000,0
"[2,4,5,12]",15.000,"[0,0,0,0]",19.000,"[0,1,0,0]",4.000,0
"[2,4,6,2]",7.000,"[0,0,0,0]",10.000,"[0,1,0,1]",3.000,0
