seeds,num_tasks,per_jitter,best_latency,run_time_order,"(latency, count)"
1755016072,8,0,285,0.03701413795351982,"[(285, 5040)]"
1755016073,8,0,2388,0.04058751091361046,"[(2388, 5040)]"
1755016074,8,0,243,0.04212810192257166,"[(243, 5040)]"
1755016075,8,0,1542,0.039491391042247415,"[(1542, 5040)]"
1755016076,8,0,1420,0.039225072134286165,"[(1420, 5040)]"
1755016077,8,0,1527,0.0434476041700691,"[(1527, 5040)]"
1755016078,8,0,600,0.03535508899949491,"[(600, 5040)]"
1755016079,8,0,873,0.03613954107277095,"[(873, 5040)]"
1755016080,8,0,4106,0.04059980786405504,"[(4106, 5040)]"
1755016081,8,0,1265,0.03878325107507408,"[(1265, 5040)]"
1755016082,8,0,816,0.040791803039610386,"[(816, 5040)]"
1755016083,8,0,224,0.03884336818009615,"[(224, 5040)]"
1755016084,8,0,533,0.04483495093882084,"[(533, 5040)]"
1755016085,8,0,401,0.0394401210360229,"[(401, 5040)]"
1755016086,8,0,551,0.048823441844433546,"[(551, 5040)]"
1755016087,8,0,323,0.04180722590535879,"[(323, 5040)]"
1755016088,8,0,415,0.04454873804934323,"[(415, 5040)]"
1755016089,8,0,1223,0.04380184505134821,"[(1223, 5040)]"
1755016090,8,0,303,0.041236245073378086,"[(303, 5040)]"
1755016091,8,0,1157,0.04158488800749183,"[(1157, 5040)]"
1755016092,8,0,5955,0.03954140399582684,"[(5955, 5040)]"
1755016093,8,0,634,0.03704419988207519,"[(634, 5040)]"
1755016094,8,0,1454,0.03514025895856321,"[(1454, 5040)]"
1755016095,8,0,636,0.03895571990869939,"[(636, 5040)]"
1755016096,8,0,3176,0.043271430069580674,"[(3176, 5040)]"
1755016097,8,0,791,0.04039623308926821,"[(791, 5040)]"
1755016098,8,0,53,0.04095194791443646,"[(53, 5040)]"
1755016099,8,0,1538,0.03896602778695524,"[(1538, 5040)]"
1755016100,8,0,895,0.04150026012212038,"[(895, 5040)]"
1755016101,8,0,478,0.040092659182846546,"[(478, 5040)]"
1755016102,8,0,1472,0.03576926304958761,"[(1472, 5040)]"
1755016103,8,0,317,0.03982254397124052,"[(317, 2520), (327, 2520)]"
1755016104,8,0,221,0.039569232845678926,"[(221, 5040)]"
1755016105,8,0,909,0.03852681606076658,"[(909, 5040)]"
1755016106,8,0,1124,0.03826201404444873,"[(1124, 5040)]"
1755016107,8,0,314,0.039607967948541045,"[(314, 3360), (324, 1680)]"
1755016108,8,0,624,0.041164800990372896,"[(624, 5040)]"
1755016109,8,0,1202,0.04566794307902455,"[(1202, 3780), (1212, 1260)]"
1755016110,8,0,291,0.044983273139223456,"[(291, 5040)]"
1755016111,8,0,1188,0.04028350906446576,"[(1188, 5040)]"
1755016112,8,0,43,0.0388717669993639,"[(43, 5040)]"
1755016113,8,0,628,0.033871113788336515,"[(628, 2520), (633, 2520)]"
1755016114,8,0,464,0.04258952406235039,"[(464, 5040)]"
1755016115,8,0,487,0.0380233358591795,"[(487, 5040)]"
