seeds,num_tasks,per_jitter,best_latency,run_time_zero
1755016049,10,0,1066,2.237199805676937e-05
1755016050,10,0,1759,2.423400292173028e-05
1755016051,10,0,3062,2.453097840771079e-05
1755016052,10,0,3881,2.3191969376057386e-05
1755016053,10,0,1615,2.531998325139284e-05
1755016054,10,0,2163,2.458802191540599e-05
1755016055,10,0,1597,2.4879002012312412e-05
1755016056,10,0,1309,2.0924024283885956e-05
1755016057,10,0,1181,2.4123000912368298e-05
1755016058,10,0,4689,2.365402178838849e-05
1755016059,10,0,1770,2.5432032998651266e-05
1755016060,10,0,1420,2.2269028704613447e-05
1755016061,10,0,1315,2.4111999664455652e-05
1755016062,10,0,3054,2.338405465707183e-05
1755016063,10,0,1638,2.4645996745675802e-05
1755016064,10,0,1343,2.5721034035086632e-05
1755016065,10,0,1633,2.5499030016362667e-05
1755016066,10,0,1673,2.3101980332285166e-05
1755016067,10,0,625,2.1619023755192757e-05
1755016068,10,0,3181,2.341094659641385e-05
1755016069,10,0,465,3.778398968279362e-05
1755016070,10,0,1630,3.8067984860390425e-05
1755016071,10,0,3155,3.6970945075154305e-05
1755016072,10,0,1595,3.586901584640145e-05
1755016073,10,0,1307,3.132602432742715e-05
1755016074,10,0,255,3.749498864635825e-05
1755016075,10,0,1319,2.319103805348277e-05
1755016076,10,0,1793,2.6752008125185966e-05
1755016077,10,0,288,2.432800829410553e-05
