periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[8, 5, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,17,17.0,12.923,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 40), (6, 50), (7, 58), (8, 62), (9, 62), (10, 58), (11, 50), (12, 40), (13, 30), (14, 20), (15, 12), (16, 6), (17, 2)]"
"[8, 5, 8]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,18,15.65,11.793,3,"[(3, 7), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 7), (10, 7), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2)]"
"[8, 5, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,19,19.0,14.434,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 40), (6, 50), (7, 60), (8, 68), (9, 72), (10, 72), (11, 68), (12, 60), (13, 50), (14, 40), (15, 30), (16, 20), (17, 12), (18, 6), (19, 2)]"
"[8, 5, 10]",1755016037,"[0, 0, 9]","[0, 0, 9]",5,20,21.875,13.646,3,"[(5, 2), (6, 2), (7, 4), (8, 4), (9, 5), (10, 6), (11, 7), (12, 7), (13, 7), (14, 7), (15, 5), (16, 5), (17, 3), (18, 3), (19, 2), (20, 2)]"
"[8, 6, 3]",1755016037,"[0, 1, 0]","[0, 1, 0]",3,14,16.875,12.169,3,"[(3, 1), (4, 2), (5, 4), (6, 4), (7, 6), (8, 6), (9, 6), (10, 6), (11, 4), (12, 4), (13, 2), (14, 2)]"
"[8, 6, 4]",1755016037,"[0, 1, 0]","[0, 1, 0]",4,15,17.5,12.659,3,"[(4, 3), (5, 4), (6, 4), (7, 4), (8, 6), (9, 6), (10, 6), (11, 6), (12, 2), (13, 2), (14, 2), (15, 2)]"
"[8, 6, 5]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,16,16.958,12.717,3,"[(1, 2), (2, 4), (3, 8), (4, 12), (5, 17), (6, 22), (7, 26), (8, 28), (9, 28), (10, 26), (11, 22), (12, 18), (13, 12), (14, 8), (15, 4), (16, 2)]"
"[8, 6, 6]",1755016037,"[0, 1, 0]","[0, 1, 0]",6,17,22.75,16.04,3,"[(6, 1), (7, 2), (8, 4), (9, 4), (10, 6), (11, 6), (12, 6), (13, 6), (14, 4), (15, 4), (16, 2), (17, 2)]"
"[8, 6, 7]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,18,18.958,14.209,3,"[(1, 2), (2, 4), (3, 8), (4, 12), (5, 18), (6, 24), (7, 29), (8, 34), (9, 36), (10, 36), (11, 34), (12, 30), (13, 24), (14, 18), (15, 12), (16, 8), (17, 4), (18, 2)]"
"[8, 6, 8]",1755016037,"[0, 1, 4]","[0, 1, 4]",4,19,17.917,12.285,3,"[(4, 3), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 1), (18, 1), (19, 1)]"
"[8, 6, 9]",1755016037,"[0, 1, 0]","[0, 1, 0]",3,20,22.875,16.851,3,"[(3, 2), (4, 2), (5, 4), (6, 6), (7, 8), (8, 10), (9, 11), (10, 14), (11, 14), (12, 14), (13, 14), (14, 12), (15, 10), (16, 8), (17, 6), (18, 4), (19, 2), (20, 2)]"
