n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
10,"[2, 1, 10, 1, 5, 100, 2, 50, 1, 200]",55,1000000000,29812.029785,2.981203e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",362.000,"[0, 0, 1, 0, 0, 4, 1, 4, 0, 53]"
3,"[10, 500, 10]",56,15000,74.896413,4.993094e-03,499.000,"[0, 0, 0]",517.000,"[0, 9, 8]"
4,"[200, 50, 20, 50]",56,200000,1540.457771,7.702289e-03,199.000,"[0, 0, 0, 0]",316.000,"[0, 49, 8, 17]"
5,"[2, 500, 20, 50, 100]",56,250000000,20448.121215,8.179248e-05,499.000,"[0, 0, 0, 0, 0]",667.000,"[0, 1, 0, 19, 68]"
6,"[50, 2, 20, 2, 20, 200]",56,1920000,2513.072925,1.308892e-03,199.000,"[0, 0, 0, 0, 0, 0]",288.000,"[0, 1, 0, 1, 0, 39]"
7,"[2, 50, 2, 200, 50, 5, 5]",56,175000000,7504.549025,4.288314e-05,199.000,"[0, 0, 0, 0, 0, 0, 0]",307.000,"[0, 1, 0, 1, 0, 4, 3]"
8,"[1, 50, 100, 20, 2, 20, 2, 10]",56,640000000,9871.447310,1.542414e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0]",197.000,"[0, 0, 49, 8, 1, 8, 1, 8]"
9,"[200, 1, 5, 1, 10, 1, 1, 100, 2]",56,90000,529.143771,5.879375e-03,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",312.000,"[0, 0, 4, 0, 3, 0, 0, 12, 1]"
10,"[1, 2, 5, 2, 5, 5, 200, 50, 5, 1]",56,250000000,4256.325658,1.702530e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",266.000,"[0, 0, 0, 1, 0, 4, 8, 7, 1, 0]"
3,"[200, 2, 20]",57,120,0.127476,1.062300e-03,199.000,"[0, 0, 0]",219.000,"[0, 1, 0]"
4,"[2, 20, 20, 10]",57,16000,41.476747,2.592297e-03,19.000,"[0, 0, 0, 0]",48.000,"[0, 1, 0, 9]"
5,"[50, 2, 20, 1000, 200]",57,40000000,95067.860164,2.376697e-03,999.000,"[0, 0, 0, 0, 0]",1267.000,"[0, 1, 0, 19, 18]"
6,"[10, 2, 200, 100, 20, 1]",57,4800000,1489.917797,3.103995e-04,199.000,"[0, 0, 0, 0, 0, 0]",327.000,"[0, 1, 0, 99, 18, 0]"
7,"[10, 200, 50, 2, 10, 5, 500]",57,3500000000,359271.654405,1.026490e-04,599.000,"[0, 0, 0, 0, 0, 0, 0]",770.000,"[0, 9, 8, 1, 8, 2, 71]"
8,"[10, 10, 1, 50, 1, 20, 5, 1000]",57,400000000,118278.787075,2.956970e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1089.000,"[0, 9, 0, 8, 0, 7, 1, 30]"
9,"[20, 5, 500, 50, 2, 10, 10, 1, 2]",57,450000000,137387.357748,3.053052e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",591.000,"[0, 4, 3, 2, 1, 2, 1, 0, 0]"
10,"[1, 2, 2, 1, 500, 200, 1, 1, 200, 10]",57,8000000000,121773.978011,1.522175e-05,599.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",908.000,"[0, 0, 1, 0, 0, 99, 0, 0, 98, 7]"
3,"[200, 20, 500]",58,30000,705.167008,2.350557e-02,599.000,"[0, 0, 0]",717.000,"[0, 19, 18]"
4,"[2, 200, 20, 200]",58,3200000,399.899136,1.249685e-04,199.000,"[0, 0, 0, 0]",418.000,"[0, 1, 0, 19]"
5,"[50, 20, 50, 10, 500]",58,25000000,43701.760526,1.748070e-03,499.000,"[0, 0, 0, 0, 0]",625.000,"[0, 9, 18, 7, 26]"
6,"[500, 10, 5, 2, 1, 1000]",58,600000,16975.818276,2.829303e-02,999.000,"[0, 0, 0, 0, 0, 0]",1512.000,"[0, 9, 3, 0, 0, 13]"
7,"[20, 20, 5, 20, 50, 1, 20]",58,14000000,3864.754182,2.760539e-04,59.000,"[0, 0, 0, 0, 0, 0, 0]",129.000,"[0, 19, 3, 2, 1, 0, 10]"
8,"[1, 2, 5, 2, 2, 50, 20, 10]",58,3200000,334.704125,1.045950e-04,59.000,"[0, 0, 0, 0, 0, 0, 0, 0]",84.000,"[0, 0, 0, 1, 0, 1, 0, 9]"
